l,V1,V2,V3,V4
0,-67,-47,-22,7
5,-89,-66,-40,9
10,-63,-27,3,15
15,-39,-27,29,
20,-25,39,,
25,-36,18,54,
30,-21,62,,
35,-18,-4,34,84
40,-38,-6,-36,75
45,-29,15,65,
50,-2,51,,
55,-2,34,,
60,27,36,,
65,-38,16,,
70,-32,-18,27,
75,-43,7,19,
80,-17,-6,21,25
85,-6,8,,
90,-84,4,,
95,-2,,,
100,-82,-20,-2,
105,-2,,,
110,-42,-31,8,
115,-36,-26,,
120,-9,-3,,
125,-23,,,
130,-26,,,
137,-64,-23,,
144,-59,-35,-20,
151,-50,-23,,
158,-42,-18,,
165,-50,-15,,
172,-22,,,
179,-12,,,
186,-7,,,
193,-5,,,
200,16,,,
207,4,36,,